BRISE: Downside:0.2732849972113775794757389849M Upside:473.06581148912437255995538204M RR:1731.0346938775510204081632653M
GST: Downside:0.2808398950131233595800524934M Upside:418.94750656167979002624671916M RR:1491.7663551401869158878504673M
XDB: Downside:0.2982611628845250772191834278M Upside:222.2246201874425403292480472M RR:745.06723583545847654950659718M
ANC: Downside:0.4451460142067876874506708761M Upside:113.77900552486187845303867403M RR:255.59929078014184397163120567M
TITAN: Downside:0.2996498249124562281140570285M Upside:98.92496248124062031015507754M RR:330.13522537562604340567612688M
KOK: Downside:0.1583850931677018633540372671M Upside:64.193581780538302277432712215M RR:405.30065359477124183006535948M
LUNA: Downside:0.9998504603018832655731576242M Upside:53.409084536660591616430674331M RR:53.417072509557950625823759803M
AURORA: Downside:0.2438144329896907216494845361M Upside:52.217010309278350515463917526M RR:214.16701902748414376321353066M
XDEFI: Downside:0.4336283185840707964601769912M Upside:47.269509251810136765888978278M RR:109.00927643784786641929499072M
SPA: Downside:0.1112239715591670898933468766M Upside:47.070086338242762823768410361M RR:423.2009132420091324200913242M
POSI: Downside:0.0068212824010914051841746248M Upside:39.927694406548431105047748977M RR:5853.4M
SHFT: Downside:0.4949494949494949494949494949M Upside:37.050719965613582634859230604M RR:74.857577073382544507164567955M
VR: Downside:0.3705528188286808976464148878M Upside:34.673234811165845648604269294M RR:93.57163958641063515509601182M
RED: Downside:0.0012265638689328894340283862M Upside:30.540213772560014017872787804M RR:24899M
FRA: Downside:0.3995873452544704264099037139M Upside:29.949105914718019257221458047M RR:74.950086058519793459552495697M
VELO: Downside:0.6368176953264359614698537281M Upside:24.72529432750624331073849447M RR:38.82633053221288515406162465M
DVPN: Downside:0.4524590163934426229508196721M Upside:24.278688524590163934426229508M RR:53.659420289855072463768115942M
WAVES: Downside:0.4094808126410835214446952596M Upside:23.573363431151241534988713318M RR:57.568908489525909592061742007M
FTT: Downside:0.6261682242990654205607476636M Upside:23.289719626168224299065420561M RR:37.19402985074626865671641791M
GMM: Downside:0.2051649928263988522238163558M Upside:23.09756097560975609756097561M RR:112.58041958041958041958041958M
SLIM: Downside:0.6296296296296296296296296296M Upside:19.924985899605188945290468133M RR:31.645565840549417736637802329M
USDJ: Downside:0.1856639713520511047506575474M Upside:19.776874060038409032729737439M RR:106.51971901720245052279954043M
AURY: Downside:0.5135566188197767145135566188M Upside:19.591706539074960127591706539M RR:38.149068322981366459627329193M
NUM: Downside:0.2262487757100881488736532811M Upside:19.460333006856023506366307542M RR:86.01298701298701298701298701M
GOM2: Downside:0.2726908435183329993989180525M Upside:19.03606491685033059507112803M RR:69.808229243203526818515797208M
QRDO: Downside:0.4004796163069544364508393285M Upside:18.697841726618705035971223022M RR:46.688622754491017964071856287M
RLY: Downside:0.4795676636067515546342907906M Upside:18.41071957358602309742374889M RR:38.390243902439024390243902439M
GARI: Downside:0.5320245885385683125123934166M Upside:16.592702756295855641483244101M RR:31.187849422288483041371598956M
XCN: Downside:0.8005342831700801424755120214M Upside:16.22350845948352626892252894M RR:20.265850945494994438264738598M
VIDT: Downside:0.5282106394411606663084363246M Upside:15.622783449758194519075765717M RR:29.576805696846388606307222787M
RAY: Downside:0.3801247771836007130124777184M Upside:15.327985739750445632798573975M RR:40.323563892145369284876905041M
CUDOS: Downside:0.2526096033402922755741127349M Upside:13.910229645093945720250521921M RR:55.066115702479338842975206612M
LOOKS: Downside:0.4311377245508982035928143713M Upside:13.820359281437125748502994012M RR:32.055555555555555555555555556M
HERO: Downside:0.5761245674740484429065743945M Upside:13.489619377162629757785467128M RR:23.414414414414414414414414414M
ACA: Downside:0.2515060240963855421686746988M Upside:13.314759036144578313253012048M RR:52.940119760479041916167664671M
DPR: Downside:0.188969991889699918896999189M Upside:13.206542308732089753987564207M RR:69.886981402002861230329041488M
DG: Downside:0.0790216368767638758231420508M Upside:13.111006585136406396989651929M RR:165.91666666666666666666666667M
TORN: Downside:0.1734939759036144578313253012M Upside:12.903614457831325301204819277M RR:74.375M
KLV: Downside:0.2595155709342560553633217993M Upside:12.588235294117647058823529412M RR:48.506666666666666666666666667M
SOS: Downside:0.391537544696066746126340882M Upside:12.468414779499404052443384982M RR:31.844748858447488584474885845M
EPIK: Downside:0.462982273201251303441084463M Upside:12.451511991657977059436913452M RR:26.894144144144144144144144144M
OVR: Downside:0.0569620253164556962025316456M Upside:12.324450366422385076615589607M RR:216.3625730994152046783625731M
YGG: Downside:0.3561034761519805982215036378M Upside:12.16895715440582053354890865M RR:34.172531214528944381384790011M
MITH: Downside:0.1374663072776280323450134771M Upside:12.064690026954177897574123989M RR:87.76470588235294117647058824M
MIR: Downside:0.449240121580547112462006079M Upside:11.869300911854103343465045593M RR:26.420838971583220568335588633M
PKF: Downside:0.1836477987421383647798742138M Upside:11.578616352201257861635220126M RR:63.047945205479452054794520548M
H2O: Downside:0.4979184013322231473771856786M Upside:11.489592006661115736885928393M RR:23.07525083612040133779264214M
PSTAKE: Downside:0.5670504297065023512242581482M Upside:10.675044592184206259121128588M RR:18.825564769802688018301401201M
XHV: Downside:0.5778867102396514161220043573M Upside:10.59313725490196078431372549M RR:18.330819981149858623939679548M
BLOK: Downside:0.3157687770349980338183248132M Upside:10.561148250098309083759339363M RR:33.445828144458281444582814446M
